pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial_2.started,fixxation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixxation.stopped,probe.started,key_resp.started,trial_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,14,2,58,2,,,,,301.8825203999877,,301.8698779999977,301.8825203999877,302.8832785000559,302.8832785000559,302.8832785000559,302.8832785000559,302.8832785000559,303.88412379997317,303.88412379997317,304.47015579999425,c,1,0.5705939000472426,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,14,3,59,3,,,,,304.4838413000107,,304.47089450003114,304.4838413000107,305.4842965999851,305.4842965999851,305.4842965999851,305.4842965999851,305.4842965999851,306.4848476999905,306.4848476999905,307.33843230002094,z,1,0.84791380004026,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,15,0,60,0,,,,,307.35154609999154,,307.3391666000243,307.35154609999154,308.3522685000207,308.3522685000207,308.3522685000207,308.3522685000207,308.3522685000207,309.35286820004694,309.35286820004694,309.9742029000772,x,1,0.612111399997957,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,15,1,61,1,,,,,309.9857156999642,,309.9754516000394,309.9857156999642,310.9868567000376,310.9868567000376,310.9868567000376,310.9868567000376,310.9868567000376,311.9871131000109,311.9871131000109,312.4740909000393,v,1,0.47694660001434386,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,15,2,62,2,,,,,312.48697329999413,,312.47480850003194,312.48697329999413,313.4875526999822,313.4875526999822,313.4875526999822,313.4875526999822,313.4875526999822,314.4878474000143,314.4878474000143,314.95801559998654,c,1,0.4572947999695316,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,15,3,63,3,,,,,314.9713330999948,,314.95872590004,314.9713330999948,315.9717452999903,315.9717452999903,315.9717452999903,315.9717452999903,315.9717452999903,316.971862000064,316.971862000064,317.44196960004047,z,1,0.46725709992460907,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,16,0,64,0,,,,,317.4554882000666,,317.44269659998827,317.4554882000666,318.45637040003203,318.45637040003203,318.45637040003203,318.45637040003203,318.45637040003203,319.4564121000003,319.4564121000003,320.07658370002173,x,1,0.6149034999543801,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,16,1,65,1,,,,,320.09030240005814,,320.0773260999704,320.09030240005814,321.0909474999644,321.0909474999644,321.0909474999644,321.0909474999644,321.0909474999644,322.09057060000487,322.09057060000487,322.5269730000291,v,1,0.4348111000144854,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,16,2,66,2,,,,,322.540966700064,,322.52771160006523,322.540966700064,323.54112800001167,323.54112800001167,323.54112800001167,323.54112800001167,323.54112800001167,324.54157050000504,324.54157050000504,324.96260640001856,c,1,0.41522530000656843,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,16,3,67,3,,,,,324.9751079999842,,324.96392590005416,324.9751079999842,325.97577889997046,325.97577889997046,325.97577889997046,325.97577889997046,325.97577889997046,326.9756861999631,326.9756861999631,327.495592399966,z,1,0.5041022999212146,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,17,0,68,0,,,,,327.5094236000441,,327.4962919000536,327.5094236000441,328.5105361000169,328.5105361000169,328.5105361000169,328.5105361000169,328.5105361000169,329.51112100004684,329.51112100004684,330.0638513000449,x,1,0.5413922000443563,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,17,1,69,1,,,,,330.0770051999716,,330.06459169997834,330.0770051999716,331.07777039997745,331.07777039997745,331.07777039997745,331.07777039997745,331.07777039997745,332.0778225000249,332.0778225000249,332.56519190000836,v,1,0.4842272999230772,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,17,2,70,2,,,,,332.57823380001355,,332.5659188000718,332.57823380001355,333.57896499999333,333.57896499999333,333.57896499999333,333.57896499999333,333.57896499999333,334.5792574000079,334.5792574000079,335.21624930005055,c,1,0.6304581000003964,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,17,3,71,3,,,,,335.2290008000564,,335.21697990002576,335.2290008000564,336.22962490003556,336.22962490003556,336.22962490003556,336.22962490003556,336.22962490003556,337.23016719997395,337.23016719997395,337.7164097999921,z,1,0.478799199918285,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,18,0,72,0,,,,,337.73034760006703,,337.7171214000555,337.73034760006703,338.73084380000364,338.73084380000364,338.73084380000364,338.73084380000364,338.73084380000364,339.73127400001977,339.73127400001977,340.3844391000457,x,1,0.6397466999478638,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,18,1,73,1,,,,,340.39835739997216,,340.38518640003167,340.39835739997216,341.39814920001663,341.39814920001663,341.39814920001663,341.39814920001663,341.39814920001663,342.39842189999763,342.39842189999763,342.8707910999656,v,1,0.47123959998134524,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,18,2,74,2,,,,,342.88229570002295,,342.871520100045,342.88229570002295,343.88291739998385,343.88291739998385,343.88291739998385,343.88291739998385,343.88291739998385,344.88317669997923,344.88317669997923,345.3859751999844,c,1,0.4947199000744149,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,18,3,75,3,,,,,345.3996560999658,,345.38666119996924,345.3996560999658,346.4004910000367,346.4004910000367,346.4004910000367,346.4004910000367,346.4004910000367,347.4007889999775,347.4007889999775,348.17064020002726,z,1,0.76233699999284,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,19,0,76,0,,,,,348.18423290003557,,348.17137840006035,348.18423290003557,349.1848563000094,349.1848563000094,349.1848563000094,349.1848563000094,349.1848563000094,350.1850300000515,350.1850300000515,350.83795359998476,x,1,0.6401241000276059,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,19,1,77,1,,,,,350.8517288999865,,350.8386477000313,350.8517288999865,351.8523559999885,351.8523559999885,351.8523559999885,351.8523559999885,351.8523559999885,352.85295199998654,352.85295199998654,353.3065813999856,v,1,0.4468033999437466,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,19,2,78,2,,,,,353.3197074000491,,353.30754890001845,353.3197074000491,354.3199132999871,354.3199132999871,354.3199132999871,354.3199132999871,354.3199132999871,355.32047070004046,355.32047070004046,355.8407473000698,c,1,0.5120883999625221,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,19,3,79,3,,,,,355.8536742000142,,355.8414597000228,355.8536742000142,356.8546204000013,356.8546204000013,356.8546204000013,356.8546204000013,356.8546204000013,357.85477780003566,357.85477780003566,358.30835609999485,z,1,0.4411016999511048,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,20,0,80,0,,,,,358.32151110004634,,358.30905699997675,358.32151110004634,359.322755399975,359.322755399975,359.322755399975,359.322755399975,359.322755399975,360.3227952000452,360.3227952000452,360.84234810003545,x,1,0.5149313999572769,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,20,1,81,1,,,,,360.8558685000753,,360.8430703000631,360.8558685000753,361.8560292000184,361.8560292000184,361.8560292000184,361.8560292000184,361.8560292000184,362.8571067000739,362.8571067000739,363.3449696999742,v,1,0.48399420001078397,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,20,2,82,2,,,,,363.3575279000215,,363.3456669000443,363.3575279000215,364.3575148000382,364.3575148000382,364.3575148000382,364.3575148000382,364.3575148000382,365.35751280002296,365.35751280002296,365.879886400071,c,1,0.5151356999995187,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,20,3,83,3,,,,,365.89084580005147,,365.88063620007597,365.89084580005147,366.89211390004493,366.89211390004493,366.89211390004493,366.89211390004493,366.89211390004493,367.8924870999763,367.8924870999763,368.39573260000907,z,1,0.4947567000053823,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,21,0,84,0,,,,,368.40854219999164,,368.3964786999859,368.40854219999164,369.40954420005437,369.40954420005437,369.40954420005437,369.40954420005437,369.40954420005437,370.4102046000771,370.4102046000771,370.99572979996447,x,1,0.5737761000636965,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,21,1,85,1,,,,,371.0100544000743,,370.9964464000659,371.0100544000743,372.0114496999886,372.0114496999886,372.0114496999886,372.0114496999886,372.0114496999886,373.01097790000495,373.01097790000495,373.54765079997014,v,1,0.5301752999657765,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,21,2,86,2,,,,,373.56085999996867,,373.548395800055,373.56085999996867,374.56139539997093,374.56139539997093,374.56139539997093,374.56139539997093,374.56139539997093,375.5627736999886,375.5627736999886,376.0981219999958,c,1,0.5223019999684766,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,21,3,87,3,,,,,376.11212080006953,,376.09886150003877,376.11212080006953,377.11274919996504,377.11274919996504,377.11274919996504,377.11274919996504,377.11274919996504,378.11276679998264,378.11276679998264,378.63255079998635,z,1,0.5089248999720439,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,22,0,88,0,,,,,378.6464944999898,,378.63329779997,378.6464944999898,379.6468447999796,379.6468447999796,379.6468447999796,379.6468447999796,379.6468447999796,380.6471279000398,380.6471279000398,381.6506145000458,x,1,0.9933849000371993,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,22,1,89,1,,,,,381.6641552000074,,381.6516398000531,381.6641552000074,382.66465689998586,382.66465689998586,382.66465689998586,382.66465689998586,382.66465689998586,383.66503589996137,383.66503589996137,384.36804480000865,v,1,0.6890032000374049,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,22,2,90,2,,,,,384.3819760000333,,384.3687386000529,384.3819760000333,385.38218189997133,385.38218189997133,385.38218189997133,385.38218189997133,385.38218189997133,386.3823822999839,386.3823822999839,387.0023604000453,c,1,0.611930700019002,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
